seriesID,year,period,value
CES1000000003,2019,M05,33.4
CES1000000003,2019,M04,33.3
CES1000000003,2019,M03,32.99
CES1000000003,2019,M02,32.99
CES1000000003,2019,M01,32.76
CES1000000003,2018,M12,32.67
CES1000000003,2018,M11,32.73
CES1000000003,2018,M10,32.59
CES1000000003,2018,M09,32.83
CES1000000003,2018,M08,32.57
CES1000000003,2018,M07,32.41
CES1000000003,2018,M06,32.47
CES1000000003,2018,M05,32.27
CES1000000003,2018,M04,32.38
CES1000000003,2018,M03,32.47
CES1000000003,2018,M02,32.26
CES1000000003,2018,M01,32.32
CES1000000003,2017,M12,32.16
CES1000000003,2017,M11,32.11
CES1000000003,2017,M10,32.02
CES1000000003,2017,M09,31.94
CES1000000003,2017,M08,32.02
CES1000000003,2017,M07,32.18
CES1000000003,2017,M06,31.88
CES1000000003,2017,M05,31.83
CES1000000003,2017,M04,31.83
CES1000000003,2017,M03,32.05
CES1000000003,2017,M02,32.19
CES1000000003,2017,M01,32.87
CES1000000003,2016,M12,32.04
CES1000000003,2016,M11,31.9
CES1000000003,2016,M10,31.98
CES1000000003,2016,M09,31.83
CES1000000003,2016,M08,31.63
CES1000000003,2016,M07,31.98
CES1000000003,2016,M06,32.08
CES1000000003,2016,M05,32.1
CES1000000003,2016,M04,31.98
CES1000000003,2016,M03,31.97
CES1000000003,2016,M02,31.82
CES1000000003,2016,M01,31.79
CES8000000003,2021,M08,27.48
CES8000000003,2021,M07,27.35
CES8000000003,2021,M06,27.29
CES8000000003,2021,M05,27.21
CES8000000003,2021,M04,26.99
CES8000000003,2021,M03,26.8
CES8000000003,2021,M02,27.11
CES8000000003,2021,M01,26.91
CES8000000003,2020,M12,26.85
CES8000000003,2020,M11,26.69
CES8000000003,2020,M10,26.51
CES8000000003,2020,M09,26.58
CES8000000003,2020,M08,26.59
CES8000000003,2020,M07,26.72
CES8000000003,2020,M06,26.91
CES8000000003,2020,M05,27.5
CES8000000003,2020,M04,27.79
CES8000000003,2020,M03,25.78
CES8000000003,2020,M02,25.59
CES8000000003,2020,M01,25.54
CES8000000003,2019,M12,25.53
CES8000000003,2019,M11,25.46
CES8000000003,2019,M10,25.37
CES8000000003,2019,M09,25.3
CES8000000003,2019,M08,25.28
CES8000000003,2019,M07,25.19
CES8000000003,2019,M06,25.16
CES8000000003,2019,M05,25.15
CES8000000003,2019,M04,25.08
CES8000000003,2019,M03,25.04
CES8000000003,2019,M02,25.02
CES8000000003,2019,M01,25
CES8000000003,2018,M12,24.87
CES8000000003,2018,M11,24.79
CES8000000003,2018,M10,24.76
CES8000000003,2018,M09,24.7
CES8000000003,2018,M08,24.6
CES8000000003,2018,M07,24.58
CES8000000003,2018,M06,24.54
CES8000000003,2018,M05,24.5
CES8000000003,2018,M04,24.46
CES8000000003,2018,M03,24.4
CES8000000003,2018,M02,24.27
CES8000000003,2018,M01,24.26
CES8000000003,2017,M12,24.21
CES8000000003,2017,M11,24.17
CES8000000003,2017,M10,24.1
CES8000000003,2017,M09,24.05
CES8000000003,2017,M08,23.93
CES8000000003,2017,M07,23.87
CES8000000003,2017,M06,23.77
CES8000000003,2017,M05,23.69
CES8000000003,2017,M04,23.66
CES8000000003,2017,M03,23.61
CES8000000003,2017,M02,23.65
CES8000000003,2017,M01,23.46
CES8000000003,2016,M12,23.38
CES8000000003,2016,M11,23.33
CES8000000003,2016,M10,23.32
CES8000000003,2016,M09,23.16
CES8000000003,2016,M08,23.16
CES8000000003,2016,M07,23.1
CES8000000003,2016,M06,23.04
CES8000000003,2016,M05,22.97
CES8000000003,2016,M04,22.91
CES8000000003,2016,M03,22.86
CES8000000003,2016,M02,22.81
CES8000000003,2016,M01,22.78
CES6000000003,2021,M08,37.03
CES6000000003,2021,M07,36.8
CES6000000003,2021,M06,36.62
CES6000000003,2021,M05,36.46
CES6000000003,2021,M04,36.16
CES6000000003,2021,M03,35.9
CES6000000003,2021,M02,35.83
CES6000000003,2021,M01,35.67
CES6000000003,2020,M12,35.59
CES6000000003,2020,M11,35.44
CES6000000003,2020,M10,35.38
CES6000000003,2020,M09,35.35
CES6000000003,2020,M08,35.29
CES6000000003,2020,M07,35.13
CES6000000003,2020,M06,35.22
CES6000000003,2020,M05,35.51
CES6000000003,2020,M04,35.83
CES6000000003,2020,M03,34.52
CES6000000003,2020,M02,34.43
CES6000000003,2020,M01,34.31
CES6000000003,2019,M12,34.24
CES6000000003,2019,M11,34.18
CES6000000003,2019,M10,34.07
CES6000000003,2019,M09,33.96
CES6000000003,2019,M08,33.86
CES6000000003,2019,M07,33.76
CES6000000003,2019,M06,33.64
CES6000000003,2019,M05,33.52
CES6000000003,2019,M04,33.42
CES6000000003,2019,M03,33.32
CES6000000003,2019,M02,33.23
CES6000000003,2019,M01,33.09
CES6000000003,2018,M12,33.04
CES6000000003,2018,M11,32.94
CES6000000003,2018,M10,32.88
CES6000000003,2018,M09,32.84
CES6000000003,2018,M08,32.78
CES6000000003,2018,M07,32.6
CES6000000003,2018,M06,32.49
CES6000000003,2018,M05,32.4
CES6000000003,2018,M04,32.31
CES6000000003,2018,M03,32.24
CES6000000003,2018,M02,32.11
CES6000000003,2018,M01,32.15
CES6000000003,2017,M12,32.02
CES6000000003,2017,M11,31.91
CES6000000003,2017,M10,31.8
CES6000000003,2017,M09,31.88
CES6000000003,2017,M08,31.66
CES6000000003,2017,M07,31.62
CES6000000003,2017,M06,31.54
CES6000000003,2017,M05,31.52
CES6000000003,2017,M04,31.6
CES6000000003,2017,M03,31.51
CES6000000003,2017,M02,31.37
CES6000000003,2017,M01,31.32
CES6000000003,2016,M12,31.21
CES6000000003,2016,M11,31.14
CES6000000003,2016,M10,31.09
CES6000000003,2016,M09,30.99
CES6000000003,2016,M08,30.92
CES6000000003,2016,M07,30.93
CES6000000003,2016,M06,30.88
CES6000000003,2016,M05,30.8
CES6000000003,2016,M04,30.69
CES6000000003,2016,M03,30.56
CES6000000003,2016,M02,30.57
CES6000000003,2016,M01,30.54
CES4000000003,2021,M08,26.61
CES4000000003,2021,M07,26.48
CES4000000003,2021,M06,26.35
CES4000000003,2021,M05,26.16
CES4000000003,2021,M04,26.02
CES4000000003,2021,M03,25.79
CES4000000003,2021,M02,25.68
CES4000000003,2021,M01,25.7
CES4000000003,2020,M12,25.67
CES4000000003,2020,M11,25.47
CES4000000003,2020,M10,25.41
CES4000000003,2020,M09,25.55
CES4000000003,2020,M08,25.41
CES4000000003,2020,M07,25.3
CES4000000003,2020,M06,25.02
CES4000000003,2020,M05,25.34
CES4000000003,2020,M04,25.62
CES4000000003,2020,M03,24.76
CES4000000003,2020,M02,24.65
CES4000000003,2020,M01,24.6
CES4000000003,2019,M12,24.47
CES4000000003,2019,M11,24.5
CES4000000003,2019,M10,24.41
CES4000000003,2019,M09,24.37
CES4000000003,2019,M08,24.37
CES4000000003,2019,M07,24.26
CES4000000003,2019,M06,24.2
CES4000000003,2019,M05,24.12
CES4000000003,2019,M04,24.01
CES4000000003,2019,M03,24.03
CES4000000003,2019,M02,23.93
CES4000000003,2019,M01,23.8
CES4000000003,2018,M12,23.8
CES4000000003,2018,M11,23.61
CES4000000003,2018,M10,23.56
CES4000000003,2018,M09,23.5
CES4000000003,2018,M08,23.41
CES4000000003,2018,M07,23.3
CES4000000003,2018,M06,23.23
CES4000000003,2018,M05,23.22
CES4000000003,2018,M04,23.12
CES4000000003,2018,M03,23.05
CES4000000003,2018,M02,23.01
CES4000000003,2018,M01,22.97
CES4000000003,2017,M12,22.95
CES4000000003,2017,M11,22.87
CES4000000003,2017,M10,22.82
CES4000000003,2017,M09,22.84
CES4000000003,2017,M08,22.77
CES4000000003,2017,M07,22.77
CES4000000003,2017,M06,22.7
CES4000000003,2017,M05,22.66
CES4000000003,2017,M04,22.59
CES4000000003,2017,M03,22.56
CES4000000003,2017,M02,22.55
CES4000000003,2017,M01,22.55
CES4000000003,2016,M12,22.44
CES4000000003,2016,M11,22.52
CES4000000003,2016,M10,22.49
CES4000000003,2016,M09,22.37
CES4000000003,2016,M08,22.34
CES4000000003,2016,M07,22.31
CES4000000003,2016,M06,22.29
CES4000000003,2016,M05,22.22
CES4000000003,2016,M04,22.18
CES4000000003,2016,M03,22.14
CES4000000003,2016,M02,22.03
CES4000000003,2016,M01,22.01
